component,kind,time,P,Q,T,U,d,fill_level,h,m,m_l,m_v,s
ambient,Ambient,7.3,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.4,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.4,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.5,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.5,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.6,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.6,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.7,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.7,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.8,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.8,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.9,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,7.9,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.0,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.0,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.1,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.1,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.2,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.2,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.2,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.3,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.3,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.4,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.5,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.5,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.6,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.6,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.7,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.7,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.8,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.8,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.8,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,8.9,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.0,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.0,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.1,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.1,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.2,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.2,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.2,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.3,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.3,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.4,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.5,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
ambient,Ambient,9.5,101325.00000000001,,293.15,335286.11406320863,1.2045824580412334,0.0,419402.3979453135,1.0,0.0,1.0,3863.4461071371
