component,kind,time,Isp,MR,P,Q,T,U,cstar,d,fill_level,h,m,m_l,m_v,mdot_fu,mdot_ox,s,thrust
lox_tank,Tank,0.0,,,3428122.122478554,,89.99628143075215,-2614322.504282213,,1149.3468534252286,0.8431418614966067,-131906.59955879132,19.381248910044295,19.381248910044295,0.0,,,2925.8333906297203,
lox_tank,Tank,0.1,,,3404103.5000756476,,89.99164235634316,-2613050.4507306847,,1149.3183625183344,0.8427525039130648,-131927.42376575,19.371818556111798,19.371818556111798,0.0,,,2925.8342093463652,
lox_tank,Tank,0.1,,,3461683.46483992,,90.00276193973443,-2611781.8117373846,,1149.3866587520365,0.8422932947990406,-131877.5035048583,19.362413515966267,19.362413515966267,0.0,,,2925.83223728113,
lox_tank,Tank,0.1,,,3518571.5715248445,,90.0137422116669,-2610425.0334417755,,1149.4541169798858,0.8418063309475283,-131828.188845434,19.352355056147378,19.352355056147378,0.0,,,2925.8302574150484,
lox_tank,Tank,0.1,,,3493722.077182496,,90.00894657734595,-2609053.7522537545,,1149.4246524383937,0.8413856897133204,-131849.72944921665,19.342189079307428,19.342189079307428,0.0,,,2925.8311260961154,
lox_tank,Tank,0.1,,,3469094.347212373,,90.00419267404611,-2607751.946997802,,1149.395447595521,0.840987242550395,-131871.0788992512,19.332538161466687,19.332538161466687,0.0,,,2925.831981134389,
lox_tank,Tank,0.2,,,3444770.7325060624,,89.99949643161986,-2606454.9512990303,,1149.3666002098093,0.8405900648102115,-131892.16577249474,19.322922899221123,19.322922899221123,0.0,,,2925.8328198560903,
lox_tank,Tank,0.2,,,3420795.5361144636,,89.99486644513449,-2605167.5752458875,,1149.3381629499838,0.840195669764118,-131912.9516192974,19.31337895210445,19.31337895210445,0.0,,,2925.8336409611957,
lox_tank,Tank,0.2,,,3397153.8926566066,,89.99029988649939,-2603889.030061226,,1149.3101183141318,0.8398038164339231,-131933.4492842261,19.303900472526635,19.303900472526635,0.0,,,2925.834445193905,
lox_tank,Tank,0.2,,,3453487.430703028,,90.00117951312554,-2602619.1137158256,,1149.3769384261075,0.8393454452447617,-131884.6088838876,19.294485962746446,19.294485962746446,0.0,,,2925.832519946838,
lox_tank,Tank,0.2,,,3509152.661076729,,90.01192460972143,-2601263.0633576857,,1149.4429491775436,0.838859941386472,-131836.35343065287,19.284432899483356,19.284432899483356,0.0,,,2925.830587380896,
lox_tank,Tank,0.3,,,3484737.9891831093,,90.00721249729777,-2599889.099421114,,1149.413999014781,0.8384379801637927,-131857.5175103513,19.27424703411881,19.27424703411881,0.0,,,2925.831438689877,
lox_tank,Tank,0.3,,,3460567.939364498,,90.00254656965791,-2598585.863543955,,1149.3853357831247,0.8380385981372789,-131878.47057914737,19.26458551038471,19.26458551038471,0.0,,,2925.832275791714,
lox_tank,Tank,0.3,,,3436746.1088967184,,89.99794686307051,-2597292.6915652235,,1149.3570824520802,0.8376421431259223,-131899.1227904824,19.25499859524236,19.25499859524236,0.0,,,2925.833095303607,
lox_tank,Tank,0.3,,,3413285.592768507,,89.99341595009739,-2596011.608764151,,1149.3292546871073,0.837249257538247,-131919.46274697265,19.245501303075347,19.245501303075347,0.0,,,2925.8338970181367,
lox_tank,Tank,0.3,,,3390136.3399621835,,89.98894420561207,-2594738.3301463956,,1149.3017932456773,0.8368586032048828,-131939.53380035382,19.23606186712889,19.23606186712889,0.0,,,2925.8346828727776,
lox_tank,Tank,0.4,,,3445180.7941609216,,89.99957561219699,-2593473.072720044,,1149.3670865620122,0.83640301349244,-131891.8102690024,19.226681896189863,19.226681896189863,0.0,,,2925.832805763825,
lox_tank,Tank,0.4,,,3499572.8890578113,,90.01007580643589,-2592122.82078336,,1149.4315901594362,0.835920640426718,-131844.65761679798,19.216671819455534,19.216671819455534,0.0,,,2925.8309221024238,
lox_tank,Tank,0.4,,,3475694.6177659216,,90.00546683182252,-2590757.553384656,,1149.4032748571603,0.8355009440945904,-131865.35710731684,19.206550425771432,19.206550425771432,0.0,,,2925.8317525580965,
lox_tank,Tank,0.4,,,3452014.2069358793,,90.0008950620473,-2589457.6823166767,,1149.3751911753438,0.8351021491676566,-131885.8860768207,19.196913847010315,19.196913847010315,0.0,,,2925.832570686627,
