component,kind,time,Isp,MR,P,Q,T,U,cstar,d,fill_level,h,m,m_l,m_v,mdot_fu,mdot_ox,s,thrust
engine_block,Engine,4.2,219.34491838020682,1.640784176757367,2855698.781570958,,2781.3132505121966,,1568.2914635237198,1.2,0.0,,0.0,,,0.2825154294215569,0.4635468462847032,,1605.357145608855
engine_block,Engine,4.2,227.24205486199148,1.7931664016872486,2914123.696470133,,3029.12834293171,,1609.9482134834639,1.2,0.0,,0.0,,,0.28469068302812744,0.5104977676794323,,1772.6695264802443
engine_block,Engine,4.3,233.28970932404835,1.951221475464947,2955036.4959195955,,3226.5334699011582,,1636.9013692318729,1.2,0.0,,0.0,,,0.265011636898395,0.5170963971642671,,1789.9105856387823
engine_block,Engine,4.4,232.2808725321833,1.931358148476449,2921501.2278835517,,3206.087823443058,,1634.4362687235562,1.2,0.0,,0.0,,,0.24905587667803486,0.48101609684806823,,1663.597016765195
engine_block,Engine,4.4,226.4673489639081,1.777903254970573,2902483.362038023,,3007.9224373990955,,1606.5862817117375,1.2,0.0,,0.0,,,0.2687669047414223,0.47784155476814066,,1658.6987220691408
engine_block,Engine,4.5,220.26728276061309,1.6532898117753965,2876767.6449392308,,2804.0796914695725,,1572.3665166314936,1.2,0.0,,0.0,,,0.28335462480676726,0.46846731431246835,,1624.5534191226652
engine_block,Engine,4.5,218.31379162023188,1.623535944943454,2848471.293284786,,2749.401988617867,,1562.4771121941071,1.2,0.0,,0.0,,,0.2848684866679508,0.4624942276870632,,1600.5955571658922
engine_block,Engine,4.5,226.20202118347203,1.7706708365593231,2905874.920283157,,2996.132835635708,,1604.8308203370589,1.2,0.0,,0.0,,,0.2869138297354321,0.5080299509180768,,1764.0135000274431
engine_block,Engine,4.6,232.22220731970322,1.919783463485628,2946483.606611455,,3192.045080672004,,1632.7334620566721,1.2,0.0,,0.0,,,0.2677334475898605,0.5139902453050103,,1780.8446305007171
engine_block,Engine,4.7,231.10849571547155,1.8978550170580133,2913507.6080797366,,3167.6248340550987,,1629.581410775534,1.2,0.0,,0.0,,,0.25209143198571377,0.4784329889514258,,1656.2262240608047
engine_block,Engine,4.7,225.35820644229915,1.754549931073977,2893888.435486011,,2972.6600432947225,,1601.013490254325,1.2,0.0,,0.0,,,0.27103754021912285,0.47554889750992224,,1650.5264233010837
